snapshot_date,facility_id,facility_name,district_name,commodity_name,program_area,quantity_on_hand,estimated_days_of_stock,stock_status,last_updated_by_role,demo_alert
2026-06-07,FAC-0002,Kampala South HC II,Kampala,Ceftriaxone injection,severe infection,3153,5,Critical <7 days,Stores Assistant,Yes
2026-06-07,FAC-0002,Kampala South HC II,Kampala,ORS + Zinc,diarrhoea,4528,35,OK,Nurse In-Charge,No
2026-06-07,FAC-0002,Kampala South HC II,Kampala,Oxytocin,maternal health,0,0,Stock-out,Pharmacist,Yes
2026-06-07,FAC-0002,Kampala South HC II,Kampala,DPT-HepB-Hib vaccine,immunisation,2198,81,OK,Nurse In-Charge,No
2026-06-07,FAC-0002,Kampala South HC II,Kampala,Measles-Rubella vaccine,immunisation,2594,32,OK,Stores Assistant,No
2026-06-07,FAC-0002,Kampala South HC II,Kampala,HIV rapid test kits,HIV testing,4087,41,OK,Stores Assistant,No
2026-06-07,FAC-0002,Kampala South HC II,Kampala,ARV first-line regimen,HIV treatment,180,44,OK,Stores Assistant,No
2026-06-07,FAC-0002,Kampala South HC II,Kampala,TB fixed-dose combination,TB treatment,3856,18,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0002,Kampala South HC II,Kampala,Insulin vials,NCD care,1573,66,OK,Stores Assistant,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,ACT Artemether-Lumefantrine,malaria treatment,1462,48,OK,Stores Assistant,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,Malaria RDTs,malaria diagnostics,292,78,OK,Pharmacist,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,Amoxicillin dispersible,childhood infection,299,56,OK,Pharmacist,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,Ceftriaxone injection,severe infection,1287,31,OK,Pharmacist,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,ORS + Zinc,diarrhoea,2789,29,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,Oxytocin,maternal health,894,41,OK,Stores Assistant,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,DPT-HepB-Hib vaccine,immunisation,2618,55,OK,Nurse In-Charge,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,Measles-Rubella vaccine,immunisation,1817,78,OK,Nurse In-Charge,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,HIV rapid test kits,HIV testing,4308,74,OK,Stores Assistant,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,ARV first-line regimen,HIV treatment,2975,77,OK,Pharmacist,No
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,TB fixed-dose combination,TB treatment,1533,13,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,Insulin vials,NCD care,342,36,OK,Nurse In-Charge,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,ACT Artemether-Lumefantrine,malaria treatment,3629,64,OK,Nurse In-Charge,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,Malaria RDTs,malaria diagnostics,1823,57,OK,Stores Assistant,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,Amoxicillin dispersible,childhood infection,3024,43,OK,Stores Assistant,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,Ceftriaxone injection,severe infection,1601,127,OK,Pharmacist,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,ORS + Zinc,diarrhoea,3841,53,OK,Nurse In-Charge,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,Oxytocin,maternal health,3135,54,OK,Stores Assistant,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,DPT-HepB-Hib vaccine,immunisation,4237,43,OK,Stores Assistant,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,Measles-Rubella vaccine,immunisation,1061,77,OK,Stores Assistant,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,HIV rapid test kits,HIV testing,523,42,OK,Stores Assistant,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,ARV first-line regimen,HIV treatment,3949,30,OK,Nurse In-Charge,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,TB fixed-dose combination,TB treatment,3630,68,OK,Pharmacist,No
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,Insulin vials,NCD care,3237,36,OK,Stores Assistant,No
2026-06-07,FAC-0005,Mukono HC IV,Mukono,ACT Artemether-Lumefantrine,malaria treatment,3197,56,OK,Stores Assistant,No
2026-06-07,FAC-0005,Mukono HC IV,Mukono,Malaria RDTs,malaria diagnostics,4922,46,OK,Stores Assistant,No
2026-06-07,FAC-0005,Mukono HC IV,Mukono,Amoxicillin dispersible,childhood infection,2317,32,OK,Stores Assistant,No
2026-06-07,FAC-0005,Mukono HC IV,Mukono,Ceftriaxone injection,severe infection,31,92,OK,Nurse In-Charge,No
2026-06-07,FAC-0005,Mukono HC IV,Mukono,ORS + Zinc,diarrhoea,4322,4,Critical <7 days,Nurse In-Charge,Yes
2026-06-07,FAC-0005,Mukono HC IV,Mukono,Oxytocin,maternal health,4488,3,Critical <7 days,Stores Assistant,Yes
2026-06-07,FAC-0005,Mukono HC IV,Mukono,DPT-HepB-Hib vaccine,immunisation,0,0,Stock-out,Nurse In-Charge,Yes
2026-06-07,FAC-0005,Mukono HC IV,Mukono,Measles-Rubella vaccine,immunisation,2136,29,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0005,Mukono HC IV,Mukono,HIV rapid test kits,HIV testing,2477,95,OK,Pharmacist,No
2026-06-07,FAC-0005,Mukono HC IV,Mukono,ARV first-line regimen,HIV treatment,4469,56,OK,Nurse In-Charge,No
2026-06-07,FAC-0005,Mukono HC IV,Mukono,TB fixed-dose combination,TB treatment,2598,62,OK,Pharmacist,No
2026-06-07,FAC-0005,Mukono HC IV,Mukono,Insulin vials,NCD care,3466,25,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,ACT Artemether-Lumefantrine,malaria treatment,4849,55,OK,Nurse In-Charge,No
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,Malaria RDTs,malaria diagnostics,4649,27,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,Amoxicillin dispersible,childhood infection,2092,47,OK,Nurse In-Charge,No
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,Ceftriaxone injection,severe infection,225,71,OK,Pharmacist,No
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,ORS + Zinc,diarrhoea,3618,1,Critical <7 days,Pharmacist,Yes
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,Oxytocin,maternal health,1514,51,OK,Nurse In-Charge,No
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,DPT-HepB-Hib vaccine,immunisation,1432,57,OK,Pharmacist,No
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,Measles-Rubella vaccine,immunisation,2513,47,OK,Pharmacist,No
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,HIV rapid test kits,HIV testing,280,10,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,ARV first-line regimen,HIV treatment,4094,49,OK,Pharmacist,No
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,TB fixed-dose combination,TB treatment,2693,70,OK,Pharmacist,No
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,Insulin vials,NCD care,4375,30,OK,Stores Assistant,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,ACT Artemether-Lumefantrine,malaria treatment,3757,9,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,Malaria RDTs,malaria diagnostics,2527,58,OK,Stores Assistant,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,Amoxicillin dispersible,childhood infection,1586,35,OK,Pharmacist,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,Ceftriaxone injection,severe infection,1175,34,OK,Pharmacist,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,ORS + Zinc,diarrhoea,4204,90,OK,Pharmacist,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,Oxytocin,maternal health,1964,78,OK,Nurse In-Charge,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,DPT-HepB-Hib vaccine,immunisation,2420,24,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,Measles-Rubella vaccine,immunisation,3464,20,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,HIV rapid test kits,HIV testing,2150,43,OK,Pharmacist,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,ARV first-line regimen,HIV treatment,3979,84,OK,Nurse In-Charge,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,TB fixed-dose combination,TB treatment,4956,59,OK,Pharmacist,No
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,Insulin vials,NCD care,608,57,OK,Pharmacist,No
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,ACT Artemether-Lumefantrine,malaria treatment,1727,86,OK,Pharmacist,No
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,Malaria RDTs,malaria diagnostics,1386,1,Critical <7 days,Pharmacist,Yes
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,Amoxicillin dispersible,childhood infection,360,4,Critical <7 days,Nurse In-Charge,Yes
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,Ceftriaxone injection,severe infection,449,1,Critical <7 days,Nurse In-Charge,Yes
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,ORS + Zinc,diarrhoea,802,66,OK,Stores Assistant,No
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,Oxytocin,maternal health,3391,7,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,DPT-HepB-Hib vaccine,immunisation,3048,4,Critical <7 days,Pharmacist,Yes
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,Measles-Rubella vaccine,immunisation,1675,6,Critical <7 days,Nurse In-Charge,Yes
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,HIV rapid test kits,HIV testing,2992,55,OK,Stores Assistant,No
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,ARV first-line regimen,HIV treatment,3536,67,OK,Pharmacist,No
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,TB fixed-dose combination,TB treatment,4184,58,OK,Stores Assistant,No
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,Insulin vials,NCD care,2217,72,OK,Pharmacist,No
2026-06-07,FAC-0009,Luwero HC IV,Luwero,ACT Artemether-Lumefantrine,malaria treatment,2950,27,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0009,Luwero HC IV,Luwero,Malaria RDTs,malaria diagnostics,3,53,OK,Pharmacist,No
2026-06-07,FAC-0009,Luwero HC IV,Luwero,Amoxicillin dispersible,childhood infection,2204,50,OK,Pharmacist,No
2026-06-07,FAC-0009,Luwero HC IV,Luwero,Ceftriaxone injection,severe infection,1354,38,OK,Stores Assistant,No
2026-06-07,FAC-0009,Luwero HC IV,Luwero,ORS + Zinc,diarrhoea,3078,29,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0009,Luwero HC IV,Luwero,Oxytocin,maternal health,0,0,Stock-out,Pharmacist,Yes
2026-06-07,FAC-0009,Luwero HC IV,Luwero,DPT-HepB-Hib vaccine,immunisation,1294,81,OK,Nurse In-Charge,No
2026-06-07,FAC-0009,Luwero HC IV,Luwero,Measles-Rubella vaccine,immunisation,0,0,Stock-out,Pharmacist,Yes
2026-06-07,FAC-0009,Luwero HC IV,Luwero,HIV rapid test kits,HIV testing,787,66,OK,Stores Assistant,No
2026-06-07,FAC-0009,Luwero HC IV,Luwero,ARV first-line regimen,HIV treatment,2885,25,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0009,Luwero HC IV,Luwero,TB fixed-dose combination,TB treatment,1276,58,OK,Stores Assistant,No
2026-06-07,FAC-0009,Luwero HC IV,Luwero,Insulin vials,NCD care,4715,19,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,ACT Artemether-Lumefantrine,malaria treatment,13,33,OK,Stores Assistant,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,Malaria RDTs,malaria diagnostics,3600,133,OK,Pharmacist,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,Amoxicillin dispersible,childhood infection,2927,54,OK,Nurse In-Charge,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,Ceftriaxone injection,severe infection,4444,11,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,ORS + Zinc,diarrhoea,3051,52,OK,Pharmacist,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,Oxytocin,maternal health,3416,48,OK,Pharmacist,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,DPT-HepB-Hib vaccine,immunisation,3676,54,OK,Stores Assistant,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,Measles-Rubella vaccine,immunisation,2895,65,OK,Nurse In-Charge,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,HIV rapid test kits,HIV testing,642,43,OK,Stores Assistant,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,ARV first-line regimen,HIV treatment,2416,49,OK,Nurse In-Charge,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,TB fixed-dose combination,TB treatment,1952,62,OK,Pharmacist,No
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,Insulin vials,NCD care,3483,44,OK,Stores Assistant,No
2026-06-07,FAC-0011,Mityana HC IV,Mityana,ACT Artemether-Lumefantrine,malaria treatment,4686,29,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0011,Mityana HC IV,Mityana,Malaria RDTs,malaria diagnostics,2938,58,OK,Pharmacist,No
2026-06-07,FAC-0011,Mityana HC IV,Mityana,Amoxicillin dispersible,childhood infection,0,0,Stock-out,Pharmacist,Yes
2026-06-07,FAC-0011,Mityana HC IV,Mityana,Ceftriaxone injection,severe infection,232,25,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0011,Mityana HC IV,Mityana,ORS + Zinc,diarrhoea,4758,55,OK,Nurse In-Charge,No
2026-06-07,FAC-0011,Mityana HC IV,Mityana,Oxytocin,maternal health,4492,28,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0011,Mityana HC IV,Mityana,DPT-HepB-Hib vaccine,immunisation,279,43,OK,Stores Assistant,No
2026-06-07,FAC-0011,Mityana HC IV,Mityana,Measles-Rubella vaccine,immunisation,1515,57,OK,Nurse In-Charge,No
2026-06-07,FAC-0011,Mityana HC IV,Mityana,HIV rapid test kits,HIV testing,4365,81,OK,Pharmacist,No
2026-06-07,FAC-0011,Mityana HC IV,Mityana,ARV first-line regimen,HIV treatment,4932,20,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0011,Mityana HC IV,Mityana,TB fixed-dose combination,TB treatment,1616,59,OK,Stores Assistant,No
2026-06-07,FAC-0011,Mityana HC IV,Mityana,Insulin vials,NCD care,746,86,OK,Nurse In-Charge,No
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,ACT Artemether-Lumefantrine,malaria treatment,1287,65,OK,Stores Assistant,No
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,Malaria RDTs,malaria diagnostics,4087,53,OK,Stores Assistant,No
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,Amoxicillin dispersible,childhood infection,1230,4,Critical <7 days,Stores Assistant,Yes
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,Ceftriaxone injection,severe infection,4175,62,OK,Stores Assistant,No
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,ORS + Zinc,diarrhoea,2934,54,OK,Pharmacist,No
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,Oxytocin,maternal health,2923,92,OK,Pharmacist,No
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,DPT-HepB-Hib vaccine,immunisation,2802,15,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,Measles-Rubella vaccine,immunisation,2544,11,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,HIV rapid test kits,HIV testing,2538,80,OK,Stores Assistant,No
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,ARV first-line regimen,HIV treatment,973,1,Critical <7 days,Stores Assistant,Yes
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,TB fixed-dose combination,TB treatment,4543,51,OK,Stores Assistant,No
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,Insulin vials,NCD care,4849,93,OK,Stores Assistant,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,ACT Artemether-Lumefantrine,malaria treatment,47,41,OK,Nurse In-Charge,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,Malaria RDTs,malaria diagnostics,1131,79,OK,Nurse In-Charge,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,Amoxicillin dispersible,childhood infection,2605,72,OK,Pharmacist,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,Ceftriaxone injection,severe infection,1523,39,OK,Pharmacist,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,ORS + Zinc,diarrhoea,3026,79,OK,Pharmacist,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,Oxytocin,maternal health,745,11,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0013,Mubende HC IV,Mubende,DPT-HepB-Hib vaccine,immunisation,4927,86,OK,Stores Assistant,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,Measles-Rubella vaccine,immunisation,3635,28,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0013,Mubende HC IV,Mubende,HIV rapid test kits,HIV testing,2146,105,OK,Nurse In-Charge,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,ARV first-line regimen,HIV treatment,2678,42,OK,Nurse In-Charge,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,TB fixed-dose combination,TB treatment,786,57,OK,Stores Assistant,No
2026-06-07,FAC-0013,Mubende HC IV,Mubende,Insulin vials,NCD care,2255,46,OK,Nurse In-Charge,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,ACT Artemether-Lumefantrine,malaria treatment,718,37,OK,Stores Assistant,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,Malaria RDTs,malaria diagnostics,3797,92,OK,Nurse In-Charge,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,Amoxicillin dispersible,childhood infection,2141,29,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0014,Mubende South HC III,Mubende,Ceftriaxone injection,severe infection,1505,70,OK,Stores Assistant,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,ORS + Zinc,diarrhoea,3176,55,OK,Stores Assistant,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,Oxytocin,maternal health,4666,52,OK,Stores Assistant,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,DPT-HepB-Hib vaccine,immunisation,748,104,OK,Pharmacist,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,Measles-Rubella vaccine,immunisation,2610,99,OK,Nurse In-Charge,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,HIV rapid test kits,HIV testing,4689,79,OK,Pharmacist,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,ARV first-line regimen,HIV treatment,4899,64,OK,Stores Assistant,No
2026-06-07,FAC-0014,Mubende South HC III,Mubende,TB fixed-dose combination,TB treatment,0,0,Stock-out,Pharmacist,Yes
2026-06-07,FAC-0014,Mubende South HC III,Mubende,Insulin vials,NCD care,3104,36,OK,Pharmacist,No
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,ACT Artemether-Lumefantrine,malaria treatment,466,43,OK,Stores Assistant,No
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,Malaria RDTs,malaria diagnostics,4444,73,OK,Stores Assistant,No
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,Amoxicillin dispersible,childhood infection,2949,30,OK,Stores Assistant,No
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,Ceftriaxone injection,severe infection,3211,82,OK,Pharmacist,No
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,ORS + Zinc,diarrhoea,2594,14,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,Oxytocin,maternal health,3655,26,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,DPT-HepB-Hib vaccine,immunisation,2896,55,OK,Stores Assistant,No
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,Measles-Rubella vaccine,immunisation,2109,78,OK,Stores Assistant,No
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,HIV rapid test kits,HIV testing,4364,28,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,ARV first-line regimen,HIV treatment,0,0,Stock-out,Nurse In-Charge,Yes
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,TB fixed-dose combination,TB treatment,3039,120,OK,Stores Assistant,No
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,Insulin vials,NCD care,197,56,OK,Stores Assistant,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,ACT Artemether-Lumefantrine,malaria treatment,4359,34,OK,Pharmacist,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,Malaria RDTs,malaria diagnostics,4946,62,OK,Stores Assistant,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,Amoxicillin dispersible,childhood infection,4191,31,OK,Pharmacist,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,Ceftriaxone injection,severe infection,778,53,OK,Stores Assistant,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,ORS + Zinc,diarrhoea,1290,30,OK,Nurse In-Charge,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,Oxytocin,maternal health,192,59,OK,Pharmacist,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,DPT-HepB-Hib vaccine,immunisation,681,63,OK,Pharmacist,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,Measles-Rubella vaccine,immunisation,4526,61,OK,Pharmacist,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,HIV rapid test kits,HIV testing,0,0,Stock-out,Pharmacist,Yes
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,ARV first-line regimen,HIV treatment,611,89,OK,Nurse In-Charge,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,TB fixed-dose combination,TB treatment,1731,51,OK,Pharmacist,No
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,Insulin vials,NCD care,321,67,OK,Stores Assistant,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,ACT Artemether-Lumefantrine,malaria treatment,2108,27,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,Malaria RDTs,malaria diagnostics,1325,59,OK,Pharmacist,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,Amoxicillin dispersible,childhood infection,354,42,OK,Stores Assistant,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,Ceftriaxone injection,severe infection,3852,71,OK,Pharmacist,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,ORS + Zinc,diarrhoea,2450,78,OK,Nurse In-Charge,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,Oxytocin,maternal health,2510,23,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,DPT-HepB-Hib vaccine,immunisation,2324,52,OK,Stores Assistant,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,Measles-Rubella vaccine,immunisation,1838,46,OK,Pharmacist,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,HIV rapid test kits,HIV testing,830,40,OK,Pharmacist,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,ARV first-line regimen,HIV treatment,536,19,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,TB fixed-dose combination,TB treatment,584,88,OK,Nurse In-Charge,No
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,Insulin vials,NCD care,1812,36,OK,Nurse In-Charge,No
2026-06-07,FAC-0018,Kayunga South HC IV,Kayunga,ACT Artemether-Lumefantrine,malaria treatment,3807,82,OK,Stores Assistant,No
2026-06-07,FAC-0018,Kayunga South HC IV,Kayunga,Malaria RDTs,malaria diagnostics,3701,36,OK,Pharmacist,No
2026-06-07,FAC-0018,Kayunga South HC IV,Kayunga,Amoxicillin dispersible,childhood infection,2937,29,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0018,Kayunga South HC IV,Kayunga,Ceftriaxone injection,severe infection,1342,39,OK,Nurse In-Charge,No
