week_start,district_id,district_name,disease_code,disease_name,cases_last_7d,cases_previous_7d,week_on_week_change_pct,incidence_per_100k,deaths_last_7d,severity,map_color_hint
2026-06-01,UG-D003,Mukono,HIV,HIV positive tests,4,4,0.0,0.57,0,Watch,yellow
2026-06-01,UG-D003,Mukono,MEA,Measles,5,7,-28.6,0.71,0,Watch,yellow
2026-06-01,UG-D003,Mukono,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D003,Mukono,TYP,Typhoid,155,210,-26.2,22.14,0,Watch,yellow
2026-06-01,UG-D003,Mukono,MAT,Maternal complications,74,97,-23.7,10.57,2,Watch,yellow
2026-06-01,UG-D003,Mukono,NEO,Neonatal sepsis,64,52,23.1,9.14,1,Moderate,orange
2026-06-01,UG-D004,Masaka,MAL,Malaria,163,217,-24.9,38.81,3,Watch,yellow
2026-06-01,UG-D004,Masaka,ARI,Acute respiratory infection,118,79,49.4,28.1,0,Moderate,orange
2026-06-01,UG-D004,Masaka,DIA,Diarrhoeal disease,64,47,36.2,15.24,0,Moderate,orange
2026-06-01,UG-D004,Masaka,TB,Tuberculosis,5,4,25.0,1.19,0,Moderate,orange
2026-06-01,UG-D004,Masaka,HIV,HIV positive tests,12,8,50.0,2.86,0,Moderate,orange
2026-06-01,UG-D004,Masaka,MEA,Measles,1,0,0,0.24,0,Rare,green
2026-06-01,UG-D004,Masaka,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D004,Masaka,TYP,Typhoid,33,27,22.2,7.86,0,Moderate,orange
2026-06-01,UG-D004,Masaka,MAT,Maternal complications,59,52,13.5,14.05,1,Watch,yellow
2026-06-01,UG-D004,Masaka,NEO,Neonatal sepsis,8,9,-11.1,1.9,0,Watch,yellow
2026-06-01,UG-D005,Luwero,MAL,Malaria,315,334,-5.7,60.58,4,Moderate,orange
2026-06-01,UG-D005,Luwero,ARI,Acute respiratory infection,458,359,27.6,88.08,0,Moderate,orange
2026-06-01,UG-D005,Luwero,DIA,Diarrhoeal disease,93,89,4.5,17.88,0,Watch,yellow
2026-06-01,UG-D005,Luwero,TB,Tuberculosis,17,20,-15.0,3.27,0,Watch,yellow
2026-06-01,UG-D005,Luwero,HIV,HIV positive tests,14,9,55.6,2.69,0,Moderate,orange
2026-06-01,UG-D005,Luwero,MEA,Measles,1,0,0,0.19,0,Rare,green
2026-06-01,UG-D005,Luwero,CHO,Cholera,0,1,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D005,Luwero,TYP,Typhoid,33,27,22.2,6.35,0,Moderate,orange
2026-06-01,UG-D005,Luwero,MAT,Maternal complications,11,10,10.0,2.12,0,Watch,yellow
2026-06-01,UG-D005,Luwero,NEO,Neonatal sepsis,7,6,16.7,1.35,0,Watch,yellow
2026-06-01,UG-D006,Mityana,MAL,Malaria,225,221,1.8,57.69,7,Moderate,orange
2026-06-01,UG-D006,Mityana,ARI,Acute respiratory infection,348,304,14.5,89.23,0,Moderate,orange
2026-06-01,UG-D006,Mityana,DIA,Diarrhoeal disease,131,87,50.6,33.59,0,Moderate,orange
2026-06-01,UG-D006,Mityana,TB,Tuberculosis,9,6,50.0,2.31,0,Moderate,orange
2026-06-01,UG-D006,Mityana,HIV,HIV positive tests,14,10,40.0,3.59,0,Moderate,orange
2026-06-01,UG-D006,Mityana,MEA,Measles,2,2,0.0,0.51,0,Rare,green
2026-06-01,UG-D006,Mityana,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D006,Mityana,TYP,Typhoid,67,52,28.8,17.18,0,Moderate,orange
2026-06-01,UG-D006,Mityana,MAT,Maternal complications,39,32,21.9,10.0,0,Moderate,orange
2026-06-01,UG-D006,Mityana,NEO,Neonatal sepsis,17,20,-15.0,4.36,0,Watch,yellow
2026-06-01,UG-D007,Mubende,MAL,Malaria,475,511,-7.0,69.85,4,Moderate,orange
2026-06-01,UG-D007,Mubende,ARI,Acute respiratory infection,571,448,27.5,83.97,0,Moderate,orange
2026-06-01,UG-D007,Mubende,DIA,Diarrhoeal disease,235,303,-22.4,34.56,0,Watch,yellow
2026-06-01,UG-D007,Mubende,TB,Tuberculosis,12,10,20.0,1.76,0,Moderate,orange
2026-06-01,UG-D007,Mubende,HIV,HIV positive tests,24,23,4.3,3.53,0,Watch,yellow
2026-06-01,UG-D007,Mubende,MEA,Measles,1,1,0.0,0.15,0,Rare,green
2026-06-01,UG-D007,Mubende,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D007,Mubende,TYP,Typhoid,37,45,-17.8,5.44,0,Watch,yellow
2026-06-01,UG-D007,Mubende,MAT,Maternal complications,38,35,8.6,5.59,0,Watch,yellow
2026-06-01,UG-D007,Mubende,NEO,Neonatal sepsis,62,84,-26.2,9.12,0,Watch,yellow
2026-06-01,UG-D008,Mpigi,MAL,Malaria,482,382,26.2,155.48,4,High,red
2026-06-01,UG-D008,Mpigi,ARI,Acute respiratory infection,217,204,6.4,70.0,0,Moderate,orange
2026-06-01,UG-D008,Mpigi,DIA,Diarrhoeal disease,60,40,50.0,19.35,0,Moderate,orange
2026-06-01,UG-D008,Mpigi,TB,Tuberculosis,2,1,100.0,0.65,0,High,red
2026-06-01,UG-D008,Mpigi,HIV,HIV positive tests,3,2,50.0,0.97,0,Moderate,orange
2026-06-01,UG-D008,Mpigi,MEA,Measles,1,0,0,0.32,0,Rare,green
2026-06-01,UG-D008,Mpigi,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D008,Mpigi,TYP,Typhoid,57,40,42.5,18.39,0,Moderate,orange
2026-06-01,UG-D008,Mpigi,MAT,Maternal complications,35,22,59.1,11.29,0,Moderate,orange
2026-06-01,UG-D008,Mpigi,NEO,Neonatal sepsis,25,36,-30.6,8.06,0,Watch,yellow
2026-06-01,UG-D009,Kayunga,MAL,Malaria,173,147,17.7,41.19,1,Watch,yellow
2026-06-01,UG-D009,Kayunga,ARI,Acute respiratory infection,238,165,44.2,56.67,0,Moderate,orange
2026-06-01,UG-D009,Kayunga,DIA,Diarrhoeal disease,129,123,4.9,30.71,0,Watch,yellow
2026-06-01,UG-D009,Kayunga,TB,Tuberculosis,13,10,30.0,3.1,0,Moderate,orange
2026-06-01,UG-D009,Kayunga,HIV,HIV positive tests,18,12,50.0,4.29,0,Moderate,orange
2026-06-01,UG-D009,Kayunga,MEA,Measles,2,1,100.0,0.48,0,High,red
2026-06-01,UG-D009,Kayunga,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D009,Kayunga,TYP,Typhoid,27,37,-27.0,6.43,0,Watch,yellow
2026-06-01,UG-D009,Kayunga,MAT,Maternal complications,16,15,6.7,3.81,0,Watch,yellow
2026-06-01,UG-D009,Kayunga,NEO,Neonatal sepsis,38,54,-29.6,9.05,1,Watch,yellow
2026-06-01,UG-D010,Kalangala,MAL,Malaria,66,96,-31.2,101.54,0,Moderate,orange
2026-06-01,UG-D010,Kalangala,ARI,Acute respiratory infection,32,37,-13.5,49.23,0,Watch,yellow
2026-06-01,UG-D010,Kalangala,DIA,Diarrhoeal disease,10,7,42.9,15.38,0,Moderate,orange
2026-06-01,UG-D010,Kalangala,TB,Tuberculosis,1,0,0,1.54,0,Rare,green
2026-06-01,UG-D010,Kalangala,HIV,HIV positive tests,1,1,0.0,1.54,0,Rare,green
2026-06-01,UG-D010,Kalangala,MEA,Measles,0,1,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D010,Kalangala,CHO,Cholera,0,1,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D010,Kalangala,TYP,Typhoid,5,3,66.7,7.69,0,High,red
2026-06-01,UG-D010,Kalangala,MAT,Maternal complications,7,7,0.0,10.77,0,Watch,yellow
2026-06-01,UG-D010,Kalangala,NEO,Neonatal sepsis,5,6,-16.7,7.69,0,Watch,yellow
2026-06-01,UG-D011,Buvuma,MAL,Malaria,165,122,35.2,137.5,4,High,red
2026-06-01,UG-D011,Buvuma,ARI,Acute respiratory infection,54,46,17.4,45.0,0,Watch,yellow
2026-06-01,UG-D011,Buvuma,DIA,Diarrhoeal disease,51,77,-33.8,42.5,0,Watch,yellow
2026-06-01,UG-D011,Buvuma,TB,Tuberculosis,3,2,50.0,2.5,0,Moderate,orange
2026-06-01,UG-D011,Buvuma,HIV,HIV positive tests,2,2,0.0,1.67,0,Rare,green
2026-06-01,UG-D011,Buvuma,MEA,Measles,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D011,Buvuma,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D011,Buvuma,TYP,Typhoid,14,14,0.0,11.67,0,Watch,yellow
2026-06-01,UG-D011,Buvuma,MAT,Maternal complications,12,17,-29.4,10.0,0,Watch,yellow
2026-06-01,UG-D011,Buvuma,NEO,Neonatal sepsis,8,7,14.3,6.67,0,Watch,yellow
2026-06-01,UG-D012,Jinja,MAL,Malaria,273,176,55.1,52.5,7,Moderate,orange
2026-06-01,UG-D012,Jinja,ARI,Acute respiratory infection,348,394,-11.7,66.92,0,Moderate,orange
2026-06-01,UG-D012,Jinja,DIA,Diarrhoeal disease,147,203,-27.6,28.27,0,Watch,yellow
2026-06-01,UG-D012,Jinja,TB,Tuberculosis,9,8,12.5,1.73,0,Watch,yellow
2026-06-01,UG-D012,Jinja,HIV,HIV positive tests,20,14,42.9,3.85,0,Moderate,orange
2026-06-01,UG-D012,Jinja,MEA,Measles,3,3,0.0,0.58,0,Rare,green
2026-06-01,UG-D012,Jinja,CHO,Cholera,0,1,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D012,Jinja,TYP,Typhoid,45,35,28.6,8.65,0,Moderate,orange
2026-06-01,UG-D012,Jinja,MAT,Maternal complications,57,46,23.9,10.96,0,Moderate,orange
2026-06-01,UG-D012,Jinja,NEO,Neonatal sepsis,35,34,2.9,6.73,0,Watch,yellow
2026-06-01,UG-D013,Iganga,MAL,Malaria,336,417,-19.4,54.19,6,Moderate,orange
2026-06-01,UG-D013,Iganga,ARI,Acute respiratory infection,389,441,-11.8,62.74,0,Moderate,orange
2026-06-01,UG-D013,Iganga,DIA,Diarrhoeal disease,80,92,-13.0,12.9,0,Watch,yellow
2026-06-01,UG-D013,Iganga,TB,Tuberculosis,5,4,25.0,0.81,0,Moderate,orange
2026-06-01,UG-D013,Iganga,HIV,HIV positive tests,27,31,-12.9,4.35,0,Watch,yellow
2026-06-01,UG-D013,Iganga,MEA,Measles,4,3,33.3,0.65,0,Moderate,orange
2026-06-01,UG-D013,Iganga,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D013,Iganga,TYP,Typhoid,23,23,0.0,3.71,0,Watch,yellow
2026-06-01,UG-D013,Iganga,MAT,Maternal complications,73,109,-33.0,11.77,1,Watch,yellow
2026-06-01,UG-D013,Iganga,NEO,Neonatal sepsis,32,31,3.2,5.16,0,Watch,yellow
2026-06-01,UG-D014,Mayuge,MAL,Malaria,739,621,19.0,129.65,17,High,red
2026-06-01,UG-D014,Mayuge,ARI,Acute respiratory infection,126,116,8.6,22.11,0,Watch,yellow
2026-06-01,UG-D014,Mayuge,DIA,Diarrhoeal disease,218,300,-27.3,38.25,0,Watch,yellow
2026-06-01,UG-D014,Mayuge,TB,Tuberculosis,3,2,50.0,0.53,0,Moderate,orange
2026-06-01,UG-D014,Mayuge,HIV,HIV positive tests,11,7,57.1,1.93,0,Moderate,orange
2026-06-01,UG-D014,Mayuge,MEA,Measles,2,2,0.0,0.35,0,Rare,green
2026-06-01,UG-D014,Mayuge,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D014,Mayuge,TYP,Typhoid,55,81,-32.1,9.65,0,Watch,yellow
2026-06-01,UG-D014,Mayuge,MAT,Maternal complications,47,70,-32.9,8.25,0,Watch,yellow
2026-06-01,UG-D014,Mayuge,NEO,Neonatal sepsis,50,36,38.9,8.77,0,Moderate,orange
2026-06-01,UG-D015,Kamuli,MAL,Malaria,651,526,23.8,108.5,24,Moderate,orange
2026-06-01,UG-D015,Kamuli,ARI,Acute respiratory infection,400,289,38.4,66.67,0,Moderate,orange
2026-06-01,UG-D015,Kamuli,DIA,Diarrhoeal disease,110,120,-8.3,18.33,0,Watch,yellow
2026-06-01,UG-D015,Kamuli,TB,Tuberculosis,20,15,33.3,3.33,0,Moderate,orange
2026-06-01,UG-D015,Kamuli,HIV,HIV positive tests,13,14,-7.1,2.17,0,Watch,yellow
2026-06-01,UG-D015,Kamuli,MEA,Measles,3,3,0.0,0.5,0,Rare,green
2026-06-01,UG-D015,Kamuli,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D015,Kamuli,TYP,Typhoid,113,106,6.6,18.83,0,Watch,yellow
2026-06-01,UG-D015,Kamuli,MAT,Maternal complications,65,61,6.6,10.83,1,Watch,yellow
2026-06-01,UG-D015,Kamuli,NEO,Neonatal sepsis,35,47,-25.5,5.83,0,Watch,yellow
2026-06-01,UG-D016,Mbale,MAL,Malaria,414,286,44.8,71.38,7,Moderate,orange
2026-06-01,UG-D016,Mbale,ARI,Acute respiratory infection,415,402,3.2,71.55,0,Moderate,orange
2026-06-01,UG-D016,Mbale,DIA,Diarrhoeal disease,88,114,-22.8,15.17,0,Watch,yellow
2026-06-01,UG-D016,Mbale,TB,Tuberculosis,6,4,50.0,1.03,0,Moderate,orange
2026-06-01,UG-D016,Mbale,HIV,HIV positive tests,5,5,0.0,0.86,0,Watch,yellow
2026-06-01,UG-D016,Mbale,MEA,Measles,1,0,0,0.17,0,Rare,green
2026-06-01,UG-D016,Mbale,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D016,Mbale,TYP,Typhoid,70,57,22.8,12.07,0,Moderate,orange
2026-06-01,UG-D016,Mbale,MAT,Maternal complications,32,36,-11.1,5.52,0,Watch,yellow
2026-06-01,UG-D016,Mbale,NEO,Neonatal sepsis,46,64,-28.1,7.93,1,Watch,yellow
2026-06-01,UG-D017,Tororo,MAL,Malaria,2020,1491,35.5,310.77,62,High,red
2026-06-01,UG-D017,Tororo,ARI,Acute respiratory infection,178,144,23.6,27.38,0,Moderate,orange
2026-06-01,UG-D017,Tororo,DIA,Diarrhoeal disease,234,237,-1.3,36.0,0,Watch,yellow
2026-06-01,UG-D017,Tororo,TB,Tuberculosis,17,11,54.5,2.62,0,Moderate,orange
2026-06-01,UG-D017,Tororo,HIV,HIV positive tests,14,15,-6.7,2.15,0,Watch,yellow
2026-06-01,UG-D017,Tororo,MEA,Measles,4,3,33.3,0.62,0,Moderate,orange
2026-06-01,UG-D017,Tororo,CHO,Cholera,0,1,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D017,Tororo,TYP,Typhoid,93,122,-23.8,14.31,0,Watch,yellow
2026-06-01,UG-D017,Tororo,MAT,Maternal complications,43,58,-25.9,6.62,1,Watch,yellow
2026-06-01,UG-D017,Tororo,NEO,Neonatal sepsis,19,12,58.3,2.92,0,Moderate,orange
2026-06-01,UG-D018,Busia,MAL,Malaria,558,385,44.9,132.86,21,High,red
2026-06-01,UG-D018,Busia,ARI,Acute respiratory infection,312,334,-6.6,74.29,0,Moderate,orange
2026-06-01,UG-D018,Busia,DIA,Diarrhoeal disease,188,128,46.9,44.76,0,Moderate,orange
2026-06-01,UG-D018,Busia,TB,Tuberculosis,11,11,0.0,2.62,0,Watch,yellow
2026-06-01,UG-D018,Busia,HIV,HIV positive tests,15,22,-31.8,3.57,0,Watch,yellow
2026-06-01,UG-D018,Busia,MEA,Measles,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D018,Busia,CHO,Cholera,7,5,40.0,1.67,0,Moderate,orange
2026-06-01,UG-D018,Busia,TYP,Typhoid,50,72,-30.6,11.9,0,Watch,yellow
2026-06-01,UG-D018,Busia,MAT,Maternal complications,28,21,33.3,6.67,0,Moderate,orange
2026-06-01,UG-D018,Busia,NEO,Neonatal sepsis,32,25,28.0,7.62,0,Moderate,orange
2026-06-01,UG-D019,Soroti,MAL,Malaria,480,659,-27.2,114.29,1,Moderate,orange
2026-06-01,UG-D019,Soroti,ARI,Acute respiratory infection,272,207,31.4,64.76,0,Moderate,orange
2026-06-01,UG-D019,Soroti,DIA,Diarrhoeal disease,118,77,53.2,28.1,0,Moderate,orange
2026-06-01,UG-D019,Soroti,TB,Tuberculosis,7,8,-12.5,1.67,0,Watch,yellow
2026-06-01,UG-D019,Soroti,HIV,HIV positive tests,4,3,33.3,0.95,0,Moderate,orange
2026-06-01,UG-D019,Soroti,MEA,Measles,1,1,0.0,0.24,0,Rare,green
2026-06-01,UG-D019,Soroti,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D019,Soroti,TYP,Typhoid,49,47,4.3,11.67,0,Watch,yellow
2026-06-01,UG-D019,Soroti,MAT,Maternal complications,18,18,0.0,4.29,0,Watch,yellow
2026-06-01,UG-D019,Soroti,NEO,Neonatal sepsis,30,28,7.1,7.14,0,Watch,yellow
2026-06-01,UG-D020,Kumi,MAL,Malaria,320,309,3.6,103.23,1,Moderate,orange
2026-06-01,UG-D020,Kumi,ARI,Acute respiratory infection,70,45,55.6,22.58,0,Moderate,orange
2026-06-01,UG-D020,Kumi,DIA,Diarrhoeal disease,89,129,-31.0,28.71,0,Watch,yellow
2026-06-01,UG-D020,Kumi,TB,Tuberculosis,3,2,50.0,0.97,0,Moderate,orange
2026-06-01,UG-D020,Kumi,HIV,HIV positive tests,6,4,50.0,1.94,0,Moderate,orange
2026-06-01,UG-D020,Kumi,MEA,Measles,1,1,0.0,0.32,0,Rare,green
2026-06-01,UG-D020,Kumi,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D020,Kumi,TYP,Typhoid,22,18,22.2,7.1,0,Moderate,orange
2026-06-01,UG-D020,Kumi,MAT,Maternal complications,14,15,-6.7,4.52,0,Watch,yellow
2026-06-01,UG-D020,Kumi,NEO,Neonatal sepsis,6,4,50.0,1.94,0,Moderate,orange
2026-06-01,UG-D021,Kapchorwa,MAL,Malaria,129,146,-11.6,99.23,4,Moderate,orange
2026-06-01,UG-D021,Kapchorwa,ARI,Acute respiratory infection,41,37,10.8,31.54,0,Watch,yellow
2026-06-01,UG-D021,Kapchorwa,DIA,Diarrhoeal disease,15,9,66.7,11.54,0,High,red
2026-06-01,UG-D021,Kapchorwa,TB,Tuberculosis,3,3,0.0,2.31,0,Rare,green
2026-06-01,UG-D021,Kapchorwa,HIV,HIV positive tests,5,5,0.0,3.85,0,Watch,yellow
2026-06-01,UG-D021,Kapchorwa,MEA,Measles,0,1,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D021,Kapchorwa,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D021,Kapchorwa,TYP,Typhoid,23,17,35.3,17.69,0,Moderate,orange
2026-06-01,UG-D021,Kapchorwa,MAT,Maternal complications,11,7,57.1,8.46,0,Moderate,orange
2026-06-01,UG-D021,Kapchorwa,NEO,Neonatal sepsis,3,3,0.0,2.31,0,Rare,green
2026-06-01,UG-D022,Moroto,MAL,Malaria,219,208,5.3,146.0,1,High,red
2026-06-01,UG-D022,Moroto,ARI,Acute respiratory infection,64,46,39.1,42.67,0,Moderate,orange
2026-06-01,UG-D022,Moroto,DIA,Diarrhoeal disease,41,62,-33.9,27.33,0,Watch,yellow
2026-06-01,UG-D022,Moroto,TB,Tuberculosis,5,7,-28.6,3.33,0,Watch,yellow
2026-06-01,UG-D022,Moroto,HIV,HIV positive tests,5,6,-16.7,3.33,0,Watch,yellow
2026-06-01,UG-D022,Moroto,MEA,Measles,11,10,10.0,7.33,0,Critical,dark red
2026-06-01,UG-D022,Moroto,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D022,Moroto,TYP,Typhoid,26,37,-29.7,17.33,0,Watch,yellow
2026-06-01,UG-D022,Moroto,MAT,Maternal complications,21,25,-16.0,14.0,0,Watch,yellow
2026-06-01,UG-D022,Moroto,NEO,Neonatal sepsis,1,0,0,0.67,0,Rare,green
2026-06-01,UG-D023,Kotido,MAL,Malaria,329,253,30.0,126.54,3,High,red
2026-06-01,UG-D023,Kotido,ARI,Acute respiratory infection,226,253,-10.7,86.92,0,Moderate,orange
2026-06-01,UG-D023,Kotido,DIA,Diarrhoeal disease,91,127,-28.3,35.0,0,Watch,yellow
2026-06-01,UG-D023,Kotido,TB,Tuberculosis,3,2,50.0,1.15,0,Moderate,orange
2026-06-01,UG-D023,Kotido,HIV,HIV positive tests,3,2,50.0,1.15,0,Moderate,orange
2026-06-01,UG-D023,Kotido,MEA,Measles,13,17,-23.5,5.0,0,Critical,dark red
2026-06-01,UG-D023,Kotido,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D023,Kotido,TYP,Typhoid,51,39,30.8,19.62,0,Moderate,orange
2026-06-01,UG-D023,Kotido,MAT,Maternal complications,6,5,20.0,2.31,0,Moderate,orange
2026-06-01,UG-D023,Kotido,NEO,Neonatal sepsis,6,4,50.0,2.31,0,Moderate,orange
2026-06-01,UG-D024,Kaabong,MAL,Malaria,145,100,45.0,80.56,4,Moderate,orange
2026-06-01,UG-D024,Kaabong,ARI,Acute respiratory infection,36,40,-10.0,20.0,0,Watch,yellow
2026-06-01,UG-D024,Kaabong,DIA,Diarrhoeal disease,69,105,-34.3,38.33,0,Watch,yellow
2026-06-01,UG-D024,Kaabong,TB,Tuberculosis,2,1,100.0,1.11,0,High,red
2026-06-01,UG-D024,Kaabong,HIV,HIV positive tests,6,6,0.0,3.33,0,Watch,yellow
2026-06-01,UG-D024,Kaabong,MEA,Measles,8,8,0.0,4.44,0,Watch,yellow
2026-06-01,UG-D024,Kaabong,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D024,Kaabong,TYP,Typhoid,7,5,40.0,3.89,0,Moderate,orange
2026-06-01,UG-D024,Kaabong,MAT,Maternal complications,9,6,50.0,5.0,0,Moderate,orange
2026-06-01,UG-D024,Kaabong,NEO,Neonatal sepsis,16,11,45.5,8.89,0,Moderate,orange
2026-06-01,UG-D025,Napak,MAL,Malaria,316,414,-23.7,150.48,10,High,red
2026-06-01,UG-D025,Napak,ARI,Acute respiratory infection,86,56,53.6,40.95,0,Moderate,orange
2026-06-01,UG-D025,Napak,DIA,Diarrhoeal disease,49,54,-9.3,23.33,0,Watch,yellow
2026-06-01,UG-D025,Napak,TB,Tuberculosis,5,3,66.7,2.38,0,High,red
2026-06-01,UG-D025,Napak,HIV,HIV positive tests,9,10,-10.0,4.29,0,Watch,yellow
2026-06-01,UG-D025,Napak,MEA,Measles,11,12,-8.3,5.24,0,Critical,dark red
2026-06-01,UG-D025,Napak,CHO,Cholera,0,1,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D025,Napak,TYP,Typhoid,9,6,50.0,4.29,0,Moderate,orange
2026-06-01,UG-D025,Napak,MAT,Maternal complications,33,28,17.9,15.71,0,Watch,yellow
2026-06-01,UG-D025,Napak,NEO,Neonatal sepsis,18,13,38.5,8.57,0,Moderate,orange
2026-06-01,UG-D026,Gulu,MAL,Malaria,885,644,37.4,158.04,0,High,red
2026-06-01,UG-D026,Gulu,ARI,Acute respiratory infection,268,273,-1.8,47.86,0,Watch,yellow
2026-06-01,UG-D026,Gulu,DIA,Diarrhoeal disease,135,87,55.2,24.11,0,Moderate,orange
2026-06-01,UG-D026,Gulu,TB,Tuberculosis,14,21,-33.3,2.5,0,Watch,yellow
2026-06-01,UG-D026,Gulu,HIV,HIV positive tests,2,2,0.0,0.36,0,Rare,green
2026-06-01,UG-D026,Gulu,MEA,Measles,0,1,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D026,Gulu,CHO,Cholera,0,0,0,0.0,0,No signal,grey
2026-06-01,UG-D026,Gulu,TYP,Typhoid,133,149,-10.7,23.75,0,Watch,yellow
2026-06-01,UG-D026,Gulu,MAT,Maternal complications,31,31,0.0,5.54,0,Watch,yellow
2026-06-01,UG-D026,Gulu,NEO,Neonatal sepsis,27,38,-28.9,4.82,1,Watch,yellow
2026-06-01,UG-D027,Lira,MAL,Malaria,654,790,-17.2,121.11,11,High,red
2026-06-01,UG-D027,Lira,ARI,Acute respiratory infection,280,320,-12.5,51.85,0,Moderate,orange
2026-06-01,UG-D027,Lira,DIA,Diarrhoeal disease,226,178,27.0,41.85,0,Moderate,orange
2026-06-01,UG-D027,Lira,TB,Tuberculosis,12,15,-20.0,2.22,0,Watch,yellow
2026-06-01,UG-D027,Lira,HIV,HIV positive tests,5,3,66.7,0.93,0,High,red
2026-06-01,UG-D027,Lira,MEA,Measles,2,1,100.0,0.37,0,High,red
2026-06-01,UG-D027,Lira,CHO,Cholera,0,2,-100.0,0.0,0,No signal,grey
2026-06-01,UG-D027,Lira,TYP,Typhoid,102,111,-8.1,18.89,0,Watch,yellow
2026-06-01,UG-D027,Lira,MAT,Maternal complications,42,33,27.3,7.78,0,Moderate,orange
